unix_timestamp,lastUpdateId,bid_price_0,bid_qty_0,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,bid_price_6,bid_qty_6,bid_price_7,bid_qty_7,bid_price_8,bid_qty_8,bid_price_9,bid_qty_9,ask_price_0,ask_qty_0,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,ask_price_6,ask_qty_6,ask_price_7,ask_qty_7,ask_price_8,ask_qty_8,ask_price_9,ask_qty_9
1759266157.5446327,178742032310,1.667900,2669.570000,1.667700,509.310000,1.667500,12962.520000,1.667400,2263.910000,1.667300,2757.950000,1.667200,1129.700000,1.667100,1832.210000,1.667000,1122.920000,1.666900,1632.750000,1.666800,1137.920000,1.668100,8124.480000,1.668200,1606.790000,1.668300,10628.480000,1.668400,1839.530000,1.668500,7730.290000,1.668600,676.220000,1.668700,14303.300000,1.668800,8608.960000,1.668900,2750.020000,1.669000,1128.840000
1759266165.721241,178742146994,1.668600,483.260000,1.668400,2189.240000,1.668300,8414.160000,1.668200,2752.260000,1.668100,2342.100000,1.668000,2850.680000,1.667900,529.080000,1.667800,232.360000,1.667700,2731.410000,1.667600,2357.070000,1.668700,2541.230000,1.668800,2257.640000,1.668900,222.000000,1.669000,10706.970000,1.669100,6070.640000,1.669200,621.140000,1.669300,8620.610000,1.669400,8058.000000,1.669500,6846.380000,1.669600,4085.040000
1759266166.0193272,178742148511,1.668600,483.260000,1.668400,2189.240000,1.668300,8414.160000,1.668200,5152.260000,1.668100,2342.100000,1.668000,2850.680000,1.667900,529.080000,1.667800,232.360000,1.667700,2731.410000,1.667600,2357.070000,1.668700,2541.230000,1.668800,2257.640000,1.668900,11191.970000,1.669000,5970.880000,1.669100,6070.640000,1.669200,621.140000,1.669300,8620.610000,1.669400,8058.000000,1.669500,6846.380000,1.669600,4085.040000
1759266166.2659845,178742154371,1.668600,483.260000,1.668400,2189.240000,1.668300,10814.160000,1.668200,2752.260000,1.668100,2342.100000,1.668000,2850.680000,1.667900,529.080000,1.667800,232.360000,1.667700,2731.410000,1.667600,2357.070000,1.668700,2663.350000,1.668800,2077.880000,1.668900,6455.880000,1.669000,10706.970000,1.669100,6289.640000,1.669200,621.140000,1.669300,8620.610000,1.669400,7159.480000,1.669500,6846.380000,1.669600,4085.040000
1759266166.511467,178742158583,1.668400,28.430000,1.668300,1645.120000,1.668200,4913.070000,1.668100,10311.870000,1.668000,2242.600000,1.667900,529.080000,1.667700,2731.410000,1.667600,2247.160000,1.667500,5763.370000,1.667400,1122.080000,1.668700,6233.880000,1.668800,2077.880000,1.668900,1083.310000,1.669000,10819.740000,1.669100,7058.630000,1.669200,508.370000,1.669300,8620.610000,1.669400,7565.120000,1.669500,6846.380000,1.669600,3679.400000
1759266166.773441,178742163343,1.668700,509.040000,1.668600,7733.520000,1.668500,2263.910000,1.668400,977.250000,1.668300,3063.900000,1.668200,1630.650000,1.668100,1353.590000,1.668000,2242.600000,1.667900,618.990000,1.667800,1244.540000,1.669100,5937.260000,1.669200,508.370000,1.669300,2242.130000,1.669400,1540.980000,1.669500,6959.150000,1.669600,9050.670000,1.669700,1120.360000,1.669800,578.030000,1.669900,3393.950000,1.670000,7239.690000
1759266167.0304456,178742166015,1.668800,16595.070000,1.668700,509.040000,1.668600,10717.810000,1.668500,2263.910000,1.668400,977.250000,1.668300,3395.130000,1.668200,1630.650000,1.668100,1353.590000,1.668000,2242.600000,1.667900,618.990000,1.669100,4361.290000,1.669200,6971.430000,1.669300,2242.130000,1.669400,6277.070000,1.669500,6959.150000,1.669600,3079.790000,1.669700,7091.240000,1.669800,578.030000,1.669900,15443.500000,1.670000,7239.690000
1759266167.3241427,178742171126,1.668500,28.420000,1.668300,9454.210000,1.668200,1630.650000,1.668100,5785.140000,1.668000,2242.600000,1.667900,509.080000,1.667700,2731.410000,1.667600,2247.160000,1.667500,5763.370000,1.667400,1122.080000,1.668800,508.790000,1.668900,352.380000,1.669000,112.770000,1.669100,4361.290000,1.669200,730.370000,1.669300,6978.220000,1.669400,13862.790000,1.669500,6846.380000,1.669600,3079.790000,1.669700,7160.430000
1759266167.58427,178742174585,1.668500,1881.200000,1.668400,2692.250000,1.668300,9454.210000,1.668200,4030.650000,1.668100,3385.140000,1.668000,2242.600000,1.667900,587.270000,1.667800,628.080000,1.667700,2731.410000,1.667600,2479.520000,1.668700,6233.880000,1.668800,482.000000,1.668900,352.380000,1.669000,112.770000,1.669100,5482.520000,1.669200,730.370000,1.669300,6978.220000,1.669400,13643.790000,1.669500,6846.380000,1.669600,3079.790000
1759266167.8387778,178742177711,1.668600,16598.670000,1.668500,508.970000,1.668400,2400.000000,1.668300,11718.120000,1.668200,1630.650000,1.668100,1121.230000,1.668000,2242.600000,1.667900,509.080000,1.667700,2731.410000,1.667600,2605.630000,1.668900,2663.350000,1.669000,13220.430000,1.669100,5486.110000,1.669200,1082.750000,1.669300,2354.900000,1.669400,13238.150000,1.669500,6846.380000,1.669600,3079.790000,1.669700,7496.880000,1.669800,578.030000
