id,unix_timestamp_ms,side,price,quantity
10294624,1759266169136,sell,1.668600,8135.050000
10294625,1759266169140,sell,1.668500,3.200000
10294626,1759266169230,sell,1.668600,179.760000
10294627,1759266170028,buy,1.668600,17.970000
10294628,1759266170121,sell,1.668500,335.760000
10294629,1759266170415,sell,1.668500,180.180000
10294630,1759266170723,sell,1.668500,4.500000
10294631,1759266170822,buy,1.668600,599.340000
10294632,1759266171142,buy,1.668600,5218.230000
10294633,1759266171282,buy,1.668700,2209.070000
10294634,1759266171335,sell,1.668600,89.900000
10294635,1759266171509,sell,1.669100,68.000000
10294636,1759266171733,buy,1.669300,28.420000
10294637,1759266171733,buy,1.669400,331.140000
10294638,1759266171943,buy,1.669400,22.650000
10294639,1759266171975,buy,1.669350,8758.160000
10294640,1759266172044,buy,1.669400,135.250000
10294641,1759266172044,buy,1.669500,1344.490000
10294642,1759266172265,sell,1.669400,551.520000
10294643,1759266172354,buy,1.669600,208.970000
10294644,1759266172616,buy,1.669600,2289.220000
10294645,1759266172616,buy,1.669800,10.000000
10294646,1759266172616,buy,1.670000,2111.550000
10294647,1759266172616,buy,1.670100,3.840000
10294648,1759266172616,buy,1.670200,65.710000
10294649,1759266172616,buy,1.670300,158.290000
10294650,1759266172616,buy,1.670500,361.390000
10294651,1759266172835,buy,1.670400,26.180000
10294652,1759266173190,buy,1.670400,100.000000
10294653,1759266173368,buy,1.670400,19.600000
10294654,1759266173459,sell,1.670300,3893.030000
10294655,1759266173463,sell,1.670200,28.400000
10294656,1759266173785,sell,1.669600,3.850000
10294657,1759266173785,sell,1.669500,25.000000
10294658,1759266173785,sell,1.669300,291.150000
10294659,1759266173900,buy,1.669500,120.320000
10294660,1759266173926,sell,1.669200,7.180000
10294661,1759266173926,sell,1.669100,512.380000
10294662,1759266174145,buy,1.669300,1241.970000
10294663,1759266174288,sell,1.669000,150.000000
10294664,1759266174552,sell,1.669000,34.110000
10294665,1759266174552,sell,1.668900,328.040000
10294666,1759266174648,sell,1.669000,4782.110000
10294667,1759266175161,sell,1.669250,8924.050000
10294668,1759266175211,sell,1.669200,179.800000
10294669,1759266175244,buy,1.669700,376.470000
10294670,1759266175368,sell,1.669400,3.200000
10294671,1759266175551,buy,1.669700,628.650000
10294672,1759266175551,buy,1.670000,1204.150000
10294673,1759266175551,buy,1.670200,222.000000
10294674,1759266175753,buy,1.670300,25.000000
10294675,1759266175753,buy,1.670500,417.200000
10294676,1759266175753,buy,1.670600,1427.720000
10294677,1759266175754,buy,1.670700,658.620000
10294678,1759266175754,buy,1.670800,98.110000
10294679,1759266175754,buy,1.670900,4.040000
10294680,1759266175754,buy,1.671000,492.950000
10294681,1759266176005,sell,1.670800,4.500000
10294682,1759266176050,buy,1.670900,222.000000
10294683,1759266176050,buy,1.671100,2472.390000
10294684,1759266176133,buy,1.671200,5089.850000
10294685,1759266176449,buy,1.671200,197.960000
10294686,1759266176607,sell,1.671100,25.360000
10294687,1759266176657,buy,1.671150,13740.360000
10294688,1759266176738,buy,1.671200,132.060000
10294689,1759266177001,buy,1.671300,3.200000
10294690,1759266177049,sell,1.671200,23.050000
10294691,1759266177084,buy,1.671300,114.890000
10294692,1759266177084,buy,1.671400,22.640000
10294693,1759266177084,buy,1.671500,1270.000000
10294694,1759266177447,sell,1.671100,22.760000
10294695,1759266177639,buy,1.671200,4.500000
10294696,1759266177868,sell,1.671100,18.680000
10294697,1759266177947,sell,1.671400,150.000000
